,horse_id,sex,age,date,dateforda,track,weather,race_num,horse_num_anim,horse_num,odds,popularity,order,order_complex,jockey,weight,dirt_grass,distance,condition,time,3furlong,horse_weight,weight_incdec,same_track,g1_age3,g2_age3,g3_age3,g1_age4,g2_age4,g3_age4,money
5,2007103864,3,8,2015/10/03,5490,9,6,11.0,12.0,11,88.5,11.0,0,0,1092,58.0,2,2000,3,127.0,39.8,480,0,0,0,0,0,0,0,0,0.0
6,2007103864,3,8,2015/05/23,5355,8,5,11.0,16.0,6,133.1,15.0,0,0,1092,56.0,2,1900,4,116.5,37.1,480,-10,0,0,0,0,0,0,0,0.0
7,2007103864,3,8,2015/01/25,5233,7,6,11.0,14.0,13,46.0,9.0,0,1,1092,56.0,2,1800,4,111.6,37.5,490,-8,0,0,0,0,0,1,1,2128.8
8,2007103864,3,7,2014/12/27,5204,6,6,11.0,13.0,3,8.3,4.0,0,0,1092,58.0,2,1800,4,113.7,38.1,498,-3,0,0,0,0,0,0,0,300.0
2,2007100191,3,8,2015/11/03,5521,44,6,10.0,16.0,8,90.5,7.0,0,0,1034,57.0,2,2000,1,126.6,38.4,534,-4,1,0,0,0,1,0,0,0.0
3,2007100191,3,8,2015/10/03,5490,9,6,11.0,12.0,4,23.3,8.0,0,0,1034,58.5,2,2000,3,125.6,38.0,538,18,0,0,0,0,0,0,0,0.0
4,2007100191,3,8,2015/06/24,5387,44,6,11.0,12.0,10,52.0,6.0,0,0,1034,57.0,2,2000,4,124.4,40.0,520,-2,1,0,0,0,1,0,0,300.0
5,2007100191,3,8,2015/05/23,5355,8,5,11.0,16.0,7,42.8,11.0,0,0,1034,58.0,2,1900,4,115.9,37.1,522,-18,0,0,0,0,0,0,0,0.0
6,2007100191,3,8,2015/01/25,5233,7,6,11.0,14.0,5,17.3,5.0,0,0,1018,57.0,2,1800,4,112.9,39.5,540,-7,0,0,0,0,0,1,1,0.0
15,2012104672,3,3,2015/11/08,5526,8,4,11.0,11.0,11,2.5,1.0,0,0,5386,54.0,2,1800,1,108.4,36.8,522,4,0,0,0,0,0,0,0,0.0
16,2012104672,3,3,2015/10/03,5490,9,6,11.0,12.0,8,2.7,1.0,0,1,5386,55.0,2,2000,3,125.1,37.6,518,4,0,0,0,0,0,0,0,1413.2
17,2012104672,3,3,2015/08/29,5454,4,6,11.0,14.0,13,2.7,2.0,1,1,1127,53.0,2,1800,1,109.5,36.6,514,2,0,0,0,0,0,0,0,2129.4
18,2012104672,3,3,2015/08/09,5434,4,6,11.0,15.0,12,6.5,3.0,0,1,5386,56.0,2,1800,4,112.0,37.7,512,0,0,0,0,1,0,0,0,1615.0
19,2012104672,3,3,2015/05/30,5362,8,6,10.0,14.0,5,5.4,4.0,0,0,1115,56.0,1,1800,4,106.5,33.1,512,4,0,0,0,0,0,0,0,0.0
13,2011100069,1,4,2015/11/03,5521,44,6,9.0,16.0,2,10.5,3.0,1,1,1126,55.0,2,1200,1,70.9,36.2,500,10,1,0,0,0,1,0,0,6000.0
14,2011100069,1,4,2015/09/30,5486,44,6,11.0,15.0,10,3.1,2.0,0,1,1126,54.0,2,1200,3,71.6,36.7,490,6,1,0,0,0,0,1,1,700.0
15,2011100069,1,4,2015/07/12,5406,7,6,11.0,16.0,6,4.2,2.0,0,1,1126,55.0,2,1400,4,82.8,36.2,484,2,0,0,0,0,0,0,0,1416.4
16,2011100069,1,4,2015/05/04,5336,48,4,10.0,11.0,4,1.5,1.0,1,1,1126,52.0,2,1400,2,85.1,37.1,482,4,0,0,0,0,0,0,0,2100.0
17,2011100069,1,4,2015/04/04,5305,9,5,11.0,16.0,14,3.2,1.0,1,1,1126,55.0,2,1400,3,82.5,36.0,478,-2,0,0,0,0,0,0,0,2138.5
4,2008102944,3,7,2015/11/08,5526,8,4,11.0,11.0,1,6.1,4.0,0,1,5203,58.0,2,1800,1,107.8,36.3,520,0,0,0,0,0,0,0,0,935.6
5,2008102944,3,7,2015/05/23,5355,8,5,11.0,16.0,12,9.1,5.0,0,1,5203,58.0,2,1900,4,115.4,36.5,520,0,0,0,0,0,0,0,0,888.4
6,2008102944,3,7,2015/04/18,5319,9,6,11.0,16.0,11,6.1,3.0,0,0,5203,58.0,2,1800,4,110.4,37.1,520,12,0,0,0,0,0,0,0,0.0
7,2008102944,3,7,2015/02/22,5261,5,5,11.0,16.0,1,9.0,4.0,0,0,5203,57.0,2,1600,4,96.6,35.8,508,7,0,0,0,0,1,0,0,940.0
8,2008102944,3,6,2014/12/29,5206,44,5,10.0,16.0,16,6.8,4.0,0,0,5203,57.0,2,2000,2,124.7,38.4,501,-9,1,0,0,0,1,0,0,350.0
